-1;16;2;-1;
4;3;-1;1;
2;-1;6;-1;
-1;2;5;-1;
-1;6;-1;4;
5;9;7;3;
-1;8;-1;6;
7;10;21;9;
6;12;8;-1;
8;11;20;-1;
10;38;-1;39;
9;-1;39;13;
-1;14;12;16;
13;-1;15;-1;
39;-1;17;14;
1;-1;13;-1;
40;-1;-1;15;
20;40;19;-1;
41;-1;32;18;
21;18;-1;10;
22;20;41;8;
24;21;23;-1;
-1;41;-1;22;
26;22;25;-1;
27;-1;-1;24;
-1;24;27;-1;
29;25;-2;26;
31;-1;29;-1;
30;27;-1;28;
-1;29;-1;31;
-1;28;30;-1;
33;-1;37;19;
-1;32;34;-1;
35;-1;36;33;
-1;34;-1;-1;
-1;37;-1;34;
36;-1;-1;32;
11;-1;40;-1;
-1;15;11;12;
18;17;-1;38;
23;19;-1;21;
